date,Coquimbo,Valparaiso,Metropolitana_de_Santiago,Libertador_Gral__Bernardo_O_Higgins,Maule,Biobio,La_Araucania,Los_Rios
2013-01-01,10.155732041302803,9.47602272818361,9.72288590112088,6.64505426047384,7.5312146444660915,10.610359052131699,21.2867174428708,36.4191860678276
2013-02-01,2.66233332991917,3.32974025517303,10.5723154322063,12.139348813117499,39.1048669912256,49.439734070859096,84.5713861484339,161.760891522548
2013-03-01,0.28205228844061,2.22858766456098,3.5009228156054504,1.39412403876005,4.3662479145254,11.9770279115343,36.4933130345268,73.3239535151834
2013-04-01,0.14211111110482902,1.62952922227756,6.72354025601241,3.5774883606637204,10.806846918758302,42.94164894140779,95.0519801544399,176.105374604849
2013-05-01,59.7753986807431,114.732581089069,134.130436340434,185.615612733826,234.37450087764702,288.971342847702,289.062543882093,380.996731149442
2013-06-01,10.262666673459199,38.2961850042467,54.5056544918342,91.17088374056559,130.348477558764,173.495359116412,206.75670210060397,298.44633065945703
2013-07-01,11.8082352878319,22.5587824795927,26.1286241936204,81.7925580904465,175.18511646162796,182.57376314224098,190.569512558274,236.397364466073
2013-08-01,9.663699346352251,30.023555207562104,59.3566778074175,79.5940775730813,119.70953431026301,190.263603895269,241.97817943773498,327.232467927366
2013-09-01,1.7691568644413,8.41550325842381,37.91278522536661,45.0719689420951,85.93964235477159,135.746449506029,170.227623959125,259.034353842723
2013-10-01,1.34043790902821,1.5013311701984,5.759848985608491,12.7633333244065,34.986530782379,56.3732048488678,57.19621476451589,95.24611119706499
2013-11-01,4.78873203050321,4.01663961675163,3.60021812083112,2.22537984575412,6.563901823962389,31.959075818829106,73.836199502589,129.497739018088
2013-12-01,0.632294116004863,0.7322564958413309,2.16135905626474,1.42378294762484,0.536896838715142,2.37817819419,13.3945316017477,39.94719649346921
2014-01-01,3.52467320647237,2.3787662295697203,7.27827181044541,4.80475968850213,7.83152246846819,33.6840026451552,96.70796641882193,130.212945686754
2014-02-01,1.68885621159928,8.38985389594424,17.803070451948603,7.295178298057281,3.01593177929248,22.1861968265569,43.1574105715261,65.22801037229
2014-03-01,2.23720261467365,5.08209415435392,5.403087250900849,15.025209344819501,31.2800166809222,78.8543882826541,128.113099669829,172.223449588746
2014-04-01,0.9547973821633592,2.0448538928788604,11.6125000191496,17.5495658452081,49.3469967572344,91.35206792456042,108.177326652719,147.356305267768
2014-05-01,2.48494117769224,22.2330032276086,59.9841441204084,134.375286522207,174.540865341161,196.509109324597,250.97147754631402,353.532545025651
2014-06-01,50.7488889098947,105.86574681393499,116.84404357167699,186.488790822584,273.41400176951197,360.173443966723,367.154828829159,419.304741753472
2014-07-01,7.56681699338399,31.8215422604668,65.903741786944,112.247054225715,202.99737088969897,346.93735378346497,349.478621274392,416.007106574007
2014-08-01,10.6538758223353,44.577564957854,57.1055704107221,113.3990234375,177.620108060154,210.729295405936,203.740685404119,259.291860496659
2014-09-01,16.863202604670903,38.7996266313962,76.0147483812883,121.37781368521799,153.78417642501302,211.73562480541,250.302833069034,312.636240956703
2014-10-01,2.86377778378334,3.27868506738118,9.39196308573158,10.7474883784619,15.2082362773266,44.79468748861171,93.73446296901079,164.0555040325
2014-11-01,0.608124184007056,6.099642838357482,15.546157724505301,27.0848682551421,22.146131449352694,12.730392269958598,41.19069306830461,77.6020155445858
2014-12-01,0.153764705005668,1.83162338244305,7.1950671211566295,10.908620161418801,31.436397710378102,29.180458739717,36.1882330563263,60.5837856102975
2015-01-01,0.23936601379046304,0.0256168829797247,0.365453019178779,0.0,0.0119217969213741,0.0011702127596165302,0.00533130239505216,1.46281654122033
2015-02-01,3.48356862365104,4.63670454624218,6.43716442514986,1.28812402974265,1.26876039744607,0.415013299170049,1.48162985590243,16.6554909578936
2015-03-01,25.862888923694,5.890649353214481,6.855453008992112,6.081255806416499,6.59302829553105,1.94892287268576,10.0374562028861,61.400762185877895
2015-04-01,0.29214379092422804,0.0804058437223558,0.378087247471831,6.038031004819762,20.171464229036697,43.4005784696721,83.1205103293867,148.935749325025
2015-05-01,0.000189542478206111,0.588051951937861,3.65489932050266,10.4554573726284,45.714292892798795,159.279867091077,314.59753245973303,437.577273721227
2015-06-01,0.0,0.32571428240119604,4.88870805442558,33.1526356809823,117.69549912660601,255.274275074614,343.280204987944,386.83625306516296
2015-07-01,41.5970326859967,72.48303575949241,125.567953109741,203.59730254180698,312.226780261454,369.045837595108,378.380274113861,510.12726173105204
2015-08-01,104.82091502520001,149.163198099508,183.43013428041598,246.857612148551,318.056231087734,347.263357669749,341.105605195881,434.725994691676
2015-09-01,16.393215684960403,48.6206006322588,80.2461073510599,118.26671322963,138.59190529237802,142.94951452600202,167.853328353289,186.367609521831
2015-10-01,40.068424862735206,57.6072402898367,91.4798993424281,117.399147311662,135.376297771435,119.415565267522,110.72101319045,113.12282948161301
2015-11-01,2.684032674611,10.9874999931856,20.3234899478071,24.1928837473078,17.1487687187465,26.582885638196398,52.954013716965704,104.420297090397
2015-12-01,0.27273856163438803,0.2830844170280869,0.6887919481081151,0.410341083079345,0.513311147451178,20.054594385321305,71.4964813238232,103.072700465988
2016-01-01,1.8409607810717,4.545957803060968,10.9158221399224,12.815767415734198,13.094267895535099,16.9297606466893,30.3928484549889,44.215762273901795
2016-02-01,0.258039215220492,0.0967207788822374,0.13214765029690598,0.00668217060120069,3.22605657027399,3.3356648981373,8.74428789363004,40.096589134029
2016-03-01,1.41033986638744,0.17374999927925305,0.0568959731764891,0.0,0.464600666811978,15.188883002035,28.3148590815676,42.0458656355392
